city_key,geo_name,province,lon,lat,level,treat,post,treat_post,year,pm25,gdp,population,secondary_pct,tertiary_pct,fiscal_revenue,loan,wage,primary_teacher_per_10k,higher_teacher_per_10k,primary_student_per_10k,higher_student_per_10k,primary_school_count,higher_school_count,gdp_pc,ln_pm25,ln_gdp_pc,ln_fiscal,ln_pop,rel_year
北屯,北屯市,新疆维吾尔自治区,87.95973,47.244003,city,0,0,0,2010,31.200000762939453,,,,,,,,,,,,,,,3.440418119268624,,,,-4
北海,北海市,广西壮族自治区,109.343711,21.665234,city,0,0,0,2010,38.79999923706055,397.5762,1.6684,42.23,35.75,27.5093,267.983,28062.44,78.2726,5.2266,1543.9942,136.526,476.0,4.0,238.297890194198,3.6584202269658395,5.473521530495206,3.3145241293201253,0.5118650833406532,-4
十堰,十堰市,湖北,110.446495,32.45798,city,0,0,0,2010,48.60000228881836,736.78,3.5319,54.57,34.87,43.7744,491.5981,24725.2,81.7605,6.8037,1276.9331,126.0058,923.0,4.0,208.60726521135933,3.8836235780014747,5.340453370394306,3.7790491716245262,1.2618359697701238,-4
南京,南京市,江苏,118.847868,31.927726,city,1,0,0,2010,66.80000305175781,5130.65,6.3242,45.37,51.85,518.8008,3511.85,48781.69,66.2898,79.0946,848.9611,1254.5539,560.0,42.0,811.27257202492,4.201703126227597,6.698604091390758,6.251519994461146,1.8443835444005956,-4
南充,南充市,四川,106.207711,31.195136,city,0,0,0,2010,66.70000457763672,827.8238,7.5172,48.51,27.14,32.2564,753.6162,25850.96,68.9073,4.0826,1294.3649,72.6002,777.0,4.0,110.12395572819668,4.200205021551811,4.70160660160704,3.473716473165665,2.0171937282003087,-4
南宁,南宁市,广西壮族自治区,108.467546,23.055985,city,0,0,0,2010,43.60000228881836,1800.2613,7.0737,36.21,50.21,156.0958,1375.8853,37039.89,72.4812,21.5234,1276.2769,390.7828,1864.0,31.0,254.50065736460408,3.7750572028508214,5.539303418952287,5.050469921329822,1.9563836810629747,-4
南平,南平市,福建,118.147051,27.338631,city,0,0,0,2010,39.10000228881836,728.6525,3.139,41.83,36.28,38.5886,403.8703,28320.61,85.8713,3.087,1066.5817,68.7257,691.0,4.0,232.12886269512586,3.6661225255288725,5.447292660116542,3.652956896062723,1.1439042778598165,-4
南昌,南昌市,江西,116.023468,28.647424,city,0,0,0,2010,61.70000076293945,2200.1059,5.0225,53.27,41.25,146.465,1417.5807,35037.98,77.105,58.0846,1391.1399,976.0896,1315.0,44.0,438.04995520159287,4.122283943276649,6.082332956844573,4.986786492064266,1.6139278177069525,-4
南通,南通市,江苏,121.047928,32.182334,city,1,0,0,2010,55.29999923706055,3465.67,7.6292,55.07,37.25,290.8061,2678.5481,39445.86,59.1923,5.7385,851.5965,108.3298,597.0,6.0,454.2638808787291,4.012772894731915,6.118678264605172,5.6726567220555895,2.0319829905201345,-4
南阳,南阳市,河南,112.288385,33.044723,city,0,0,0,2010,75.20000457763672,1953.3562,11.8669,52.07,27.39,69.0668,955.8151,23308.01,71.6514,3.0716,1422.6967,56.2363,4276.0,4.0,164.60543191566458,4.320151291828621,5.103551288401159,4.235074152217285,2.4737530119179105,-4
博尔塔拉蒙古自治,博尔塔拉蒙古自治州,新疆维吾尔自治区,82.91122,44.549726,city,0,0,0,2010,42.79999923706055,,,,,,,,,,,,,,,3.7565380847620626,,,,-4
厦门,厦门市,福建,118.123854,24.676398,city,0,0,0,2010,39.20000076293945,2060.0737,1.8021,49.73,49.15,289.1748,1384.666,40282.94,100.8213,48.3214,1719.6604,712.8905,389.0,17.0,1143.1517118916818,3.668676766259158,7.041544386300597,5.667031349558506,0.5889526515420884,-4
双河,双河市,新疆维吾尔自治区,82.468534,44.833549,city,0,0,0,2010,41.900001525878906,,,,,,,,,,,,,,,3.7352858633452493,,,,-4
双鸭山,双鸭山市,黑龙江,132.623042,46.721849,city,0,0,0,2010,39.70000076293945,396.3504,1.5158,44.78,24.88,24.0532,297.7894,17208.18,96.4639,1.0226,894.5771,14.8964,304.0,1.0,261.47935083784137,3.681351206910763,5.566355316095896,3.180268043833644,0.4159433523957917,-4
可克达拉,可克达拉市,新疆维吾尔自治区,80.603017,43.96732,city,0,0,0,2010,46.60000228881836,,,,,,,,,,,,,,,3.841600590247873,,,,-4
台州,台州市,浙江,121.136679,28.757098,city,1,0,0,2010,38.400001525878906,2426.4533,5.8314,51.69,41.69,164.8845,1730.6728,40564.72,69.738,2.7078,1230.0648,51.0152,819.0,4.0,416.1013307267551,3.6480574993301103,6.030928814077401,5.105245228786187,1.763257108755343,-4
合肥,合肥市,安徽,117.360447,31.762594,city,1,0,0,2010,66.5,2701.61,4.9495,53.92,41.17,259.4283,1233.7343,39290.84,73.6883,41.0021,1329.6293,752.7548,909.0,44.0,545.8349328214972,4.197201947661808,6.302316609196999,5.558480363849871,1.599286561377725,-4
吉安,吉安市,江西,114.830492,26.972536,city,0,0,0,2010,52.10000228881836,720.5251,4.9504,50.48,29.67,57.0967,573.3233,23096.94,75.6727,1.9776,1320.0953,36.6839,1553.0,1.0,145.54886473820295,3.9531649926905748,4.980511870354982,4.044746321646856,1.59946838139661,-4
吉林,吉林市,吉林,126.849983,43.588212,city,0,0,0,2010,43.70000076293945,1800.6376,4.3403,49.76,39.44,73.1926,886.6054,30991.9,74.1516,11.1651,984.0334,206.7599,921.0,8.0,414.8647789323319,3.777348119560113,6.027952633237304,4.29309432296086,1.4679434701472938,-4
吐鲁番,吐鲁番市,新疆维吾尔自治区,89.829374,42.398557,city,0,0,0,2010,60.10000228881836,,,,,,,,,,,,,,,4.096009879624662,,,,-4
吕梁,吕梁市,山西,111.268548,37.684104,city,0,0,0,2010,42.5,845.5392,3.8349,69.2,25.64,72.9582,681.393,31630.19,110.0863,2.0053,1747.3728,42.5591,2216.0,2.0,220.48533208167098,3.7495040759303713,5.395831171502709,4.289886674409109,1.3441433588599487,-4
